#Table1
g,i,r,z
22.30898,21.24054,22.61612,1.000306
22.69251,22.11943,22.82621,1.000305
23.42514,21.79488,22.5502,1.000096
22.16909,22.27612,22.24916,1.000537
23.1515,22.83266,22.61007,1.000539
23.17764,21.65903,22.58492,1.000455
23.63277,21.41306,21.95882,1.000545
23.52065,22.6435,22.64414,1.000552
22.50299,21.52,21.77217,1.000608
22.98658,21.86716,22.3638,1.00041
22.84426,21.34074,22.10801,1.000281
22.24861,21.03106,21.7015,1.000378
22.02291,21.38848,21.95171,1.000279
23.94775,20.90362,22.21422,1.000064
22.87632,21.23156,22.49799,1.00053
22.63828,21.30449,21.95802,1.000034
22.30178,21.1655,21.78333,1.000265
22.76106,22.07554,22.1894,1.000183
23.01754,21.82382,22.30966,1.00071
22.76859,21.57284,22.6641,1.000005
22.51637,21.07304,21.59583,1.000547
21.95637,21.6424,21.8893,1.000404
22.14275,21.75501,21.96707,1.000674
21.86131,21.53415,21.7851,1.000022
23.3613,22.11121,22.72305,1.000141
23.0307,21.91503,22.50013,1.000139
25.71097,20.97102,22.30855,1.000417
23.84062,20.89262,21.94625,1.000739
21.86671,21.73792,22.05759,1.001827
22.91671,20.89372,21.83062,1.002166
21.63871,21.43782,21.71181,1.002166
22.89646,21.69738,22.30686,1.002003
23.28206,21.97267,22.34163,1.001797
22.82791,20.95984,21.60947,1.001753
22.22713,21.92333,22.03596,1.000834
23.63138,20.7695,21.91211,1.001438
23.52602,21.06257,22.28726,1.001029
21.89573,20.20942,21.31285,1.00116
21.78174,20.94526,20.53343,1.00098
22.55502,21.58601,22.08658,1.001363
20.47693,18.96374,19.65677,1.000937
23.6369,21.31794,22.44736,1.001184
21.90353,21.70104,22.13593,1.001664
23.16028,22.39333,22.94315,1.000966
22.03132,20.95041,20.95196,1.001529
21.95594,20.83149,21.14022,1.001669
22.76541,21.74698,22.08032,1.002367
22.84798,21.84974,22.52194,1.002079
22.35767,21.44855,22.97589,1.002427
22.56768,21.48334,22.16078,1.002167
22.98375,21.84275,22.40867,1.002348
22.09879,21.71998,21.8753,1.00193
22.89726,21.11579,22.72832,1.001648
23.06574,21.98194,22.19337,1.001352
22.72781,21.79783,22.62373,1.001427
22.58991,21.70732,22.4521,1.00136
23.15947,21.83414,22.68038,1.001962
22.59708,21.85442,22.56415,1.002017
22.52767,22.18814,22.65732,1.000972
22.61186,21.5894,22.0657,1.001699
22.68129,21.56347,21.79383,1.001473
23.1004,21.3217,22.65022,1.0022
22.9395,21.98212,21.93118,1.002225
23.15802,21.60108,22.30603,1.000813
23.44534,21.06264,22.67581,1.001757
24.05402,21.33599,22.47827,1.001065
22.91487,21.41623,22.05902,1.002285
23.69769,22.02599,22.7791,1.001668
22.99118,21.60436,22.6415,1.001713
21.61306,19.98025,20.5617,1.000953
22.9091,21.85356,22.2325,1.001858
22.82306,21.81186,21.8507,1.00122
22.55661,21.78185,21.9782,1.002457
22.1058,21.14292,21.55646,1.000887
23.72553,22.12035,22.96518,1.001302
22.95209,22.20282,22.52472,1.001878
22.7515,21.49841,21.71582,1.000965
21.61742,20.61033,21.15552,1.001355
24.19792,23.37243,22.63156,1.000796
23.72437,22.51847,22.5538,1.002069
22.13522,21.19227,21.42208,1.001001
23.07808,21.27768,21.98672,1.000961
22.09144,21.51239,21.85834,1.000777
23.14894,21.64782,22.56636,1.002201
21.80541,20.64814,21.37059,1.001191
22.8257,21.62099,22.16592,1.002093
22.07277,21.36753,21.53447,1.002293
22.17398,21.26348,21.67654,1.001249
23.89224,21.18257,22.2942,1.001745
22.05241,21.33051,21.7658,1.002086
22.53214,21.33531,22.13073,1.002309
22.69384,21.34283,21.97651,1.002057
22.55173,21.83725,21.9464,1.002217
23.65421,21.82332,24.2968,1.001663
22.17889,21.0862,21.82681,1.002058
22.92076,22.02046,22.58365,1.001032
22.32705,20.74246,21.51593,1.002349
23.41388,22.28901,23.80703,1.000898
22.37334,21.52306,22.18459,1.001096
21.59897,19.70467,20.72334,1.000857
21.6484,19.62902,20.42644,1.002166
22.58001,21.55571,22.02699,1.001274
22.46071,21.67495,22.45636,1.001469
24.28867,22.07943,23.32103,1.000876
22.87076,21.91127,22.21926,1.001882
23.03366,21.21195,21.92022,1.002305
22.75835,21.51484,22.09844,1.001627
22.71603,21.62585,22.04253,1.001975
22.76964,21.61995,22.29776,1.002164
22.66936,21.60412,22.33287,1.000885
23.02842,21.88788,22.38171,1.001744
22.35137,21.692,22.5542,1.00146
22.88559,21.91315,22.71008,1.001513
22.53092,21.23514,21.83629,1.001826
23.1085,21.6836,22.28051,1.000999
22.18435,21.22091,21.68029,1.000953
23.27043,22.29984,22.75118,1.00204
22.42194,21.26773,21.64385,1.001465
25.40889,22.19445,22.8921,1.001229
21.77162,20.294,21.01061,1.001155
22.95063,22.26095,22.97115,1.001774
22.78471,22.32735,22.58013,1.001089
22.84076,22.12712,22.44023,1.001367
22.83762,21.63915,22.8821,1.001266
22.7368,21.18739,22.59011,1.002266
22.83722,22.57088,21.9839,1.001976
22.19097,21.39631,21.70209,1.002161
24.58751,21.65539,22.40432,1.001626
22.47042,21.18147,21.78356,1.001951
22.98729,21.62124,22.02256,1.001891
23.31617,20.70584,21.82383,1.001492
22.62871,21.85699,22.07226,1.001571
23.49623,22.34863,22.19625,1.001132
22.76399,21.72588,22.39469,1.001976
22.69825,21.8275,22.10688,1.001093
22.21695,21.1206,21.81755,1.002073
22.32253,21.35079,21.36693,1.001112
22.50925,20.89192,21.49307,1.002052
23.42605,22.99605,22.90394,1.000787
22.05088,21.56421,21.80862,1.00181
22.70725,22.41181,22.70393,1.000953
22.32309,21.57062,21.78291,1.00126
23.0901,21.65931,22.27754,1.000777
23.09504,22.19505,22.59918,1.002196
22.81782,21.35475,22.1381,1.002031
23.10861,21.68963,22.24341,1.001463
22.36304,20.96501,21.57764,1.001852
23.90737,23.67646,21.7875,1.00141
23.04585,21.68711,22.16867,1.001592
22.76637,21.68521,22.30484,1.000869
22.42192,21.29818,21.8685,1.002327
23.0491,22.60444,22.56524,1.001969
22.68094,22.24996,22.97098,1.001576
21.79373,21.54907,21.72955,1.001737
22.13311,21.42167,21.88109,1.002483
22.04643,21.3075,21.78674,1.00209
21.07097,20.10995,19.71932,1.002166
22.47282,21.65086,22.32968,1.001028
22.78054,22.05556,22.58877,1.001395
22.27219,21.64942,21.49594,1.001723
25.29104,20.96968,22.13017,1.001163
19.82931,19.88474,19.93629,1.00213
22.57855,21.67335,22.04382,1.001037
24.34505,20.9432,22.00986,1.000994
23.04191,22.02378,22.24464,1.00122
22.44683,21.17269,21.78752,1.001145
23.16613,22.33019,22.55505,1.001201
23.62561,21.85752,22.80166,1.001643
