#Table1
g,i,r,z
18.38842,16.91446,17.39486,0.09000331
18.15982,17.11402,17.49652,0.09021582
17.57465,16.65032,17.0114,0.09007793
17.18402,15.81704,16.25085,0.09014694
17.55457,16.36927,16.75893,0.09017389
18.55415,17.31485,17.77621,0.09012964
17.86148,16.91483,17.2984,0.09023144
18.36979,17.31022,17.68684,0.09021764
17.19605,16.75337,16.96795,0.09014101
18.93283,17.78076,18.20431,0.09020283
18.36711,17.01854,17.44268,0.09016384
18.16853,16.97038,17.38209,0.09021179
17.79832,16.46595,16.8657,0.09001284
17.26939,15.88231,16.31508,0.09005705
17.89907,16.78809,17.17002,0.09001245
18.13218,17.19083,17.55774,0.090184
17.57755,16.15545,16.65362,0.09018727
17.74796,16.49672,16.94142,0.09012486
17.68568,16.29101,16.75995,0.09003912
17.66052,16.30464,16.72844,0.0901984
18.48507,17.17977,17.578,0.09015287
18.60349,17.21898,17.64246,0.09013116
17.03828,15.92744,16.30814,0.09000754
18.56949,17.36517,17.81963,0.09019365
17.52445,16.2476,16.67674,0.09008807
19.16105,18.06705,18.5006,0.09006128
17.61708,16.58059,16.94422,0.09009219
19.42278,18.67702,18.95351,0.09010371
18.84595,17.79686,18.20929,0.09016932
18.03902,16.52273,16.99299,0.09008739
18.43735,17.2533,17.68878,0.09015219
17.8728,16.53739,16.94766,0.09013277
17.81991,16.82146,17.18212,0.09012266
21.58194,20.98382,21.27085,0.09019164
17.48731,16.11971,16.54815,0.09022875
17.95973,16.60298,17.0073,0.09018664
18.09568,16.71411,17.16116,0.09021083
17.91866,16.49001,17.07351,0.09014901
18.2977,16.93318,17.35125,0.09010801
18.21702,17.22761,17.62993,0.09010687
18.5767,17.22028,17.64093,0.09018603
18.62735,17.82221,18.14385,0.09011468
16.54179,15.58922,15.94284,0.09017804
18.34894,17.18571,17.54744,0.09007256
16.99793,15.60382,16.03963,0.09016725
18.27287,17.4953,17.81016,0.09021004
17.9403,17.15105,17.4625,0.09003381
18.28224,16.96281,17.37915,0.09000853
17.96564,16.95858,17.35658,0.09018281
16.96762,15.59367,16.0486,0.09011389
17.76722,16.45698,16.85542,0.09015388
17.31317,15.95828,16.37782,0.09022351
17.44081,16.09583,16.51133,0.09021559
18.34671,16.87116,17.37272,0.09003731
18.0832,17.19908,17.51821,0.09015642
17.52915,16.95546,17.29495,0.0901342
18.20025,16.54042,17.10923,0.09010117
17.59563,16.78056,17.08967,0.09007055
17.07092,15.74257,16.1643,0.09020979
18.18882,16.81472,17.24118,0.09021561
17.57738,16.18149,16.59875,0.09016711
18.45148,17.20581,17.68599,0.09022959
17.5701,16.76691,16.86733,0.09003223
17.97167,17.37188,17.62609,0.09016717
18.68778,17.52519,17.95463,0.09007035
17.35129,15.94423,16.36014,0.09021915
17.55762,16.13268,16.56371,0.09021793
17.19853,15.87221,16.29132,0.09009679
18.03781,17.28469,17.60038,0.09017498
18.00476,17.1279,17.47421,0.09008802
16.60063,15.16925,15.60131,0.09017019
16.89762,15.69077,16.07669,0.09008068
17.87192,16.49186,16.90356,0.09005882
17.70241,16.82196,17.16699,0.09020091
18.63247,17.19718,17.69654,0.09022366
18.20404,17.44071,17.77316,0.0901816
17.31495,16.08082,16.49816,0.09014195
18.29099,16.99535,17.40308,0.09002645
17.71637,16.32369,16.7367,0.09022437
17.58512,16.28936,16.75928,0.09019491
17.70147,16.46042,16.89115,0.09002306
18.85024,17.48206,18.00016,0.090189
18.3739,17.25599,17.69239,0.09004766
21.25559,20.28997,20.65594,0.09017465
17.897,16.6074,16.99079,0.09020168
21.94063,21.55207,21.88119,0.09004252
21.95754,21.55848,21.58893,0.09009064
18.27327,16.92628,17.33424,0.09011272
18.12216,17.1297,17.47297,0.09020155
17.53378,16.16869,16.58191,0.09007943
17.36197,16.24538,16.64997,0.09013511
18.30576,16.97774,17.38029,0.09002285
16.45289,15.0592,15.49354,0.09008637
17.72897,16.70736,17.08177,0.09012169
17.65026,16.30243,16.71482,0.09021002
17.73945,16.96579,17.26682,0.09017305
17.51803,16.80648,17.13262,0.09002524
16.49677,15.10755,15.5619,0.09011357
18.239,16.83513,17.28699,0.09018813
18.34786,17.02618,17.43211,0.09011976
17.95212,16.89562,17.29766,0.09009659
17.68642,16.32901,16.73925,0.09021679
17.496,16.09017,16.54513,0.0900457
17.98461,16.60875,17.04401,0.09004796
18.73855,17.34741,17.83439,0.09013689
16.55292,15.37086,15.7849,0.09006048
17.37981,16.13228,16.47723,0.09016059
18.30904,16.72116,17.31558,0.09020662
17.52006,16.82729,17.12261,0.09002273
19.54531,18.76183,19.04944,0.09015347
19.29731,18.31511,18.68331,0.0902281
18.51484,17.6942,18.07135,0.09013744
19.60748,18.23513,18.68896,0.09001317
18.8748,17.47797,17.89824,0.09000481
19.57544,18.77387,19.08217,0.09015594
18.55022,17.12784,17.58914,0.09005799
18.86657,17.54097,18.06157,0.0902206
18.87991,17.70244,18.18714,0.09008724
19.04,17.83477,18.32911,0.0901152
18.96237,18.29148,18.56433,0.09005433
17.81124,16.78765,17.175,0.09016303
18.40857,17.0209,17.43869,0.09012412
17.67114,16.49864,16.95095,0.09019478
17.78922,16.59054,16.97162,0.09006364
18.98841,17.91523,18.37293,0.09007724
17.48754,16.04621,16.52699,0.09012934
17.90953,16.56318,16.98006,0.09017038
17.93945,16.73434,17.18785,0.09007367
18.19071,16.86234,17.29514,0.09019149
16.9209,15.43741,15.88778,0.09006416
16.8775,15.46705,15.89291,0.09022606
18.39194,17.13509,17.63735,0.09018185
17.30004,15.8761,16.31945,0.0900096
17.10239,15.89123,16.29156,0.09016501
18.1269,16.7234,17.15685,0.09017836
18.49428,17.38675,17.79759,0.09022999
16.41571,15.16892,15.55619,0.09008967
17.74265,16.32142,16.74537,0.09001282
18.19165,16.84316,17.27097,0.09000841
18.06434,16.50951,17.00285,0.09006134
17.65586,16.19038,16.65007,0.09005437
16.9856,15.57754,16.00419,0.09018869
18.01122,16.48786,17.03382,0.09005196
18.3265,16.96118,17.37122,0.09008111
18.12473,16.80643,17.22952,0.09017205
17.91257,16.43879,16.89628,0.0900389
17.32687,15.88391,16.32571,0.09013819
18.20854,17.22345,17.5788,0.09017504
17.63626,16.29714,16.70969,0.09015198
18.00826,17.02559,17.41211,0.09014318
17.71217,16.38704,16.82239,0.09008529
17.53345,16.45399,16.86546,0.09007965
18.3528,17.01048,17.41348,0.09004346
18.38789,17.20497,17.60103,0.09017435
17.28399,16.10804,16.55676,0.09022848
17.79494,16.78708,17.14137,0.09012778
16.80382,15.35929,15.82099,0.09000406
18.07961,16.65825,17.0886,0.09022085
17.27363,15.92185,16.35242,0.09015639
