#Table1
g,i,r,z
18.07914,17.35493,17.67452,0.0901903
18.32803,17.02413,17.42198,0.09012797
17.68338,16.27026,16.72205,0.09022018
18.1717,17.12186,17.52043,0.090082
17.62772,16.49094,16.93184,0.09003162
18.18509,16.72181,17.18022,0.0902283
18.26471,17.14446,17.50344,0.0901553
16.88406,15.5279,15.95225,0.09002255
18.03764,16.97521,17.29343,0.09002982
17.90347,17.33691,17.60282,0.0901824
18.38712,17.00432,17.4219,0.09020414
18.46297,16.8328,17.40892,0.09002499
18.61384,17.24455,17.74273,0.09019161
17.56282,16.56474,16.91827,0.09008583
17.93036,16.49724,16.93282,0.09018131
17.63899,16.63412,17.01637,0.09008759
17.19045,16.02952,16.41739,0.09006769
18.31129,16.97571,17.3789,0.09018527
17.5192,16.2497,16.68277,0.09013286
17.3145,15.70345,16.24441,0.09019672
17.92306,16.42244,16.91258,0.09020777
17.50937,16.40361,16.77933,0.09003685
17.20747,16.25582,16.6159,0.09000365
17.81219,16.68528,17.12744,0.09001292
18.22997,17.00323,17.44454,0.0901806
18.05125,16.66498,17.10616,0.09015553
17.09486,15.86141,16.24564,0.09004796
17.43085,15.94669,16.45414,0.0902219
19.23741,17.87451,18.27243,0.09022553
17.29476,15.82866,16.38502,0.09014557
18.151,16.63105,17.11537,0.09020438
18.24782,17.20873,17.58415,0.09013139
18.30551,16.97966,17.40763,0.09016035
17.66238,16.81266,17.20617,0.09013701
18.38796,16.97326,17.44961,0.09003565
16.8165,15.5828,15.96908,0.09018724
17.32435,16.22076,16.63005,0.09019303
17.3258,15.96326,16.43011,0.09003006
17.33329,15.9844,16.42737,0.09011877
17.51031,16.04082,16.51199,0.09004852
16.99571,15.64909,16.05434,0.09007595
18.39265,17.37329,17.70888,0.0902188
18.46433,17.37981,17.72418,0.09021223
17.59822,16.9035,17.19684,0.09007518
16.87599,15.49376,15.91645,0.09015094
17.73482,16.39714,16.80566,0.09387619
18.19907,17.10252,17.47725,0.09399997
17.95742,16.74025,17.16783,0.0940149
18.00932,16.6785,17.08229,0.09397531
17.65306,16.70603,17.06787,0.09398668
17.82144,16.83691,17.2507,0.09396829
16.58784,15.62661,16.00833,0.09382539
17.46297,16.58411,16.93488,0.09402864
18.02337,16.63716,17.06617,0.09381518
17.82413,16.80821,17.17869,0.09392229
18.0465,17.24782,17.56429,0.09383097
18.11947,16.75882,17.18363,0.09394608
17.5918,16.33488,16.7488,0.09380326
17.35267,16.02161,16.42228,0.09383251
18.21595,16.95753,17.30704,0.09400003
17.84797,16.5476,16.95796,0.09390493
18.61651,17.26429,17.67516,0.09380258
18.69382,17.34464,17.76403,0.09398925
17.19031,16.12895,16.49599,0.09390147
18.23252,16.79961,17.2498,0.09395684
18.64585,17.27066,17.68435,0.09395507
18.25875,16.97775,17.37003,0.09399007
17.71805,16.36072,16.76606,0.09393738
18.07592,17.49941,17.74328,0.09402379
17.30174,15.9572,16.38995,0.09379967
17.40864,16.60123,16.91414,0.0938316
18.09955,16.78326,17.28199,0.0939087
18.05971,17.00762,17.41365,0.09393641
17.53967,16.07309,16.51995,0.09399224
17.1672,15.83914,16.25405,0.09402972
17.12916,15.98475,16.3872,0.09391105
18.01455,16.62404,17.0467,0.09396164
16.90491,15.95426,16.32272,0.09396443
16.91527,15.4972,15.91941,0.09393198
17.55848,16.19798,16.60447,0.09399526
18.37507,16.86006,17.38192,0.09400018
18.22244,17.66113,17.97026,0.09398714
18.14937,16.80136,17.21068,0.09395599
18.25543,16.84579,17.27581,0.093991
18.2333,16.76714,17.24981,0.09397613
18.27321,16.94899,17.34625,0.09398419
17.17075,15.91091,16.33687,0.09400279
18.33662,16.9879,17.42261,0.09400495
19.02271,18.53522,18.89713,0.09384488
18.2535,24.36181,17.3921,0.09399369
17.63679,16.47922,16.8786,0.09396434
17.56982,16.23627,16.64243,0.09402152
18.05361,17.07411,17.42397,0.09398896
17.48294,16.5037,16.90813,0.09400523
18.33475,17.3977,17.75253,0.09399307
17.75995,16.60953,17.04168,0.09396719
18.21166,17.34622,17.67035,0.09385607
17.82064,16.40978,16.82442,0.09388045
18.34142,17.09194,17.49607,0.09380724
17.30241,16.24377,16.64186,0.09395947
17.22193,15.94596,16.35617,0.09399841
18.06478,16.93103,17.36444,0.09383909
17.65194,16.1082,16.65168,0.09380575
17.23053,16.35616,16.7239,0.09386778
17.96424,17.02198,17.38337,0.09391354
18.37904,17.10734,17.59788,0.09396215
17.62858,16.63245,17.0014,0.09398228
18.26157,16.96648,17.35993,0.09387572
18.04491,17.40317,17.64987,0.09394394
18.21115,17.533,17.80835,0.09385251
17.7893,16.39114,16.90623,0.0938965
18.03764,16.78791,17.19067,0.09392334
16.38889,14.9973,15.42218,0.09399097
18.28824,16.87377,17.31202,0.09402721
17.77837,16.81832,17.18576,0.09393849
17.05481,15.80867,16.19193,0.09390417
18.57594,17.21999,17.63133,0.09389821
17.95191,17.33736,17.57929,0.09398601
17.53454,16.90381,17.16214,0.09379876
17.84804,16.92297,17.27264,0.09400564
18.35212,16.85375,17.37119,0.09384359
17.23463,15.84598,16.28615,0.09383567
18.47042,17.18371,17.7086,0.09401139
18.00421,17.1531,17.47778,0.09386867
16.56535,15.38904,15.79444,0.09395494
17.43,16.11049,16.52597,0.09396508
16.8996,15.67243,16.08582,0.09390576
17.91438,16.5563,17.02877,0.09386369
18.02733,16.82209,17.1891,0.09383127
18.2317,17.47087,17.7695,0.09391581
18.38305,16.91404,17.37935,0.09399322
22.07257,22.22652,21.91537,0.09390715
18.58277,16.82339,17.13679,0.09397502
17.3679,15.96624,16.40243,0.09400006
16.80132,15.47779,15.90731,0.09391887
17.24304,16.47763,16.77875,0.09402248
18.5216,17.89084,18.18713,0.09396043
17.56404,16.54751,16.9214,0.09402838
17.56318,16.4367,16.84216,0.09401293
17.47077,16.06151,16.55449,0.09391244
19.85761,19.45793,19.70643,0.09396549
19.6397,18.72006,19.1047,0.09382726
19.34162,18.38717,18.80218,0.09389748
16.61127,15.25215,15.70916,0.09392157
16.71697,15.3771,15.74462,0.0938235
18.44312,17.07082,17.51419,0.09385205
18.50005,17.00976,17.53551,0.09391532
18.30932,16.80602,17.29429,0.09381977
18.27683,16.79459,17.2558,0.09384947
18.62148,17.18832,17.63979,0.09390678
18.49217,17.22156,17.64904,0.09385917
17.95772,17.18894,17.49828,0.09394132
18.23236,17.15898,17.5746,0.09400425
17.50805,16.46622,16.81728,0.0938979
17.57606,16.33911,16.77152,0.09401553
18.62894,17.1855,17.6085,0.09386537
17.64129,17.00387,17.27644,0.09382917
18.1676,16.6785,17.16048,0.09396571
17.56871,16.09863,16.54475,0.09383707
17.76423,16.61766,16.98952,0.09397035
17.53795,16.32905,16.77523,0.09381189
19.06789,17.40664,17.92752,0.09381752
17.58604,15.96758,16.48752,0.09392029
17.10592,16.12226,16.52154,0.09400254
18.35292,17.5142,17.76808,0.09383877
17.41018,16.3805,16.74365,0.09402319
17.84178,16.38456,16.8725,0.09393185
18.28102,17.14729,17.56001,0.0939914
18.45371,17.31965,17.76375,0.09400497
18.07055,16.7767,17.17935,0.09396829
17.69734,16.91452,17.26041,0.09395739
18.07146,17.08514,17.432,0.0939054
21.85119,20.70339,21.15346,0.09401814
18.08698,16.65746,17.09334,0.09401586
17.78325,16.37828,16.82288,0.09385654
17.37098,16.62484,16.94431,0.0939427
18.69191,17.36465,17.8374,0.09385263
17.49876,16.48918,16.84972,0.09389083
18.27889,17.04556,17.46552,0.09400715
18.60504,17.3347,17.71322,0.09399594
17.19825,16.13558,16.54105,0.09402801
17.42823,16.05771,16.47768,0.09398561
17.24709,16.48364,16.80556,0.09383812
17.2773,15.9218,16.35489,0.09398604
16.7586,15.53623,15.97724,0.09397236
18.0164,16.70351,17.1038,0.09392889
18.14492,17.42268,17.73915,0.09396184
16.63194,15.65741,16.02382,0.09391712
16.83349,15.36907,15.81964,0.09395268
18.08563,17.11028,17.50568,0.09382748
18.11339,16.77043,17.22832,0.09394573
17.72643,16.40395,16.8061,0.09390131
17.71298,16.28032,16.71156,0.09381953
17.93608,16.51381,16.95089,0.09401907
17.58382,16.16638,16.61076,0.09383581
17.84255,16.45362,16.88767,0.09397987
17.88027,17.21819,17.52703,0.09395025
17.73002,16.36699,16.7912,0.09396704
18.2408,16.8891,17.30836,0.09391545
18.2194,17.09246,17.5216,0.09379948
18.33631,17.52838,17.82973,0.0939691
17.74613,16.05828,16.59044,0.09399291
18.23856,17.4241,17.74174,0.09397823
18.12559,16.86209,17.35181,0.09386137
17.7693,16.8412,17.2069,0.09386248
18.73646,17.38881,17.81437,0.09388297
18.34828,17.13462,17.56087,0.09399705
18.26405,16.88487,17.32843,0.09385306
17.3691,16.20616,16.62398,0.093803
18.18238,17.12474,17.45397,0.09402869
18.0979,16.90455,17.30361,0.09397458
18.47098,17.37641,17.79535,0.09387112
18.49669,17.2448,17.70163,0.09399505
18.49227,17.06174,17.51287,0.0940226
18.26497,16.62679,17.17615,0.09388372
17.98345,18.14396,17.60146,0.09400522
17.88831,16.98737,17.32364,0.09389883
17.55229,16.04174,16.52341,0.09394172
17.62943,16.07841,16.62149,0.09388856
17.3993,16.05101,16.47809,0.09381764
17.26162,15.83827,16.33311,0.09399112
17.78458,16.68064,17.13578,0.09396291
16.31815,14.88073,15.35409,0.09397293
17.07401,15.67559,16.10237,0.09396689
18.97666,17.53045,17.98418,0.09380782
18.34367,17.08153,17.49719,0.09388144
18.39676,16.75138,17.33234,0.09394121
18.49772,17.02192,17.47278,0.09383619
17.19848,15.7475,16.18906,0.09384037
17.17455,15.73299,16.20303,0.09400168
17.48267,16.56703,17.02744,0.0939657
17.28414,16.53969,16.81875,0.09393062
17.25983,16.53278,16.82317,0.0938656
17.88033,16.59173,17.02798,0.0940145
17.62674,16.26964,16.69504,0.09384088
16.12184,14.76294,15.2243,0.09401741
18.53012,17.11024,17.57317,0.09381928
18.43402,17.16833,17.59213,0.09379822
17.63571,16.55253,16.93027,0.09381714
18.15845,17.29488,17.61248,0.09385539
17.20101,15.69903,16.15298,0.09401979
18.12981,16.79437,17.20989,0.09382945
17.65133,16.90003,17.23081,0.09401456
17.78785,16.55909,17.03713,0.09388797
17.79053,16.90651,17.26099,0.09396005
17.78096,16.48051,16.87385,0.09389637
18.44067,17.0613,17.51665,0.09390461
17.96403,16.65782,17.12277,0.09394018
18.22764,17.29053,17.66238,0.09396166
18.46891,17.23764,17.66086,0.09264
18.01778,17.31685,17.63547,0.09260976
17.59407,16.0544,16.53169,0.09268096
16.47872,15.53828,15.96789,0.09259722
17.46474,16.51869,16.90449,0.09263403
18.01402,17.07875,17.4417,0.09273487
17.6965,16.2504,16.7431,0.09259187
19.58816,19.01795,19.36578,0.09259884
18.10567,16.89464,17.32423,0.09272624
17.77344,16.88636,17.20463,0.09268892
16.62295,15.5655,15.94881,0.09249522
17.6736,16.94022,17.27631,0.09252986
18.12362,16.89584,17.34281,0.09258258
17.94539,16.94542,17.33349,0.09272155
17.59205,16.20364,16.623,0.09253796
17.74587,16.46703,16.84751,0.09265032
18.14013,17.15013,17.54932,0.09264537
17.6074,16.27359,16.68222,0.0927046
16.97091,15.73515,16.13045,0.09259403
18.68543,17.32542,17.74962,0.09271383
18.37031,16.98617,17.47398,0.09255976
18.31986,17.35711,17.74553,0.09259997
18.49931,17.11381,17.52774,0.09260765
18.46578,17.33458,17.73516,0.09256854
18.6157,17.91536,18.20848,0.09269562
18.19539,17.12888,17.58198,0.09271399
17.96548,16.66885,17.04599,0.09251454
16.41652,14.95929,15.40636,0.09262488
17.43951,16.1542,16.54943,0.09251209
18.11478,16.82841,17.27131,0.09249529
18.63428,17.23887,17.65138,0.09266493
18.0546,17.21772,17.57834,0.09254969
17.14321,15.90138,16.35801,0.09263573
17.93446,17.05193,17.41068,0.09253113
17.46734,16.23068,16.63615,0.09255088
17.32627,16.27342,16.65771,0.09251179
17.76897,16.64165,17.02694,0.09269112
17.3378,15.95772,16.42569,0.09256001
17.63841,16.25107,16.69438,0.0924947
16.54111,15.07455,15.52292,0.09249195
18.72168,17.33982,17.76424,0.09255324
17.20127,16.11395,16.50265,0.09266397
17.5256,16.09406,16.54602,0.09261365
17.77226,17.01738,17.3177,0.09259725
16.11196,14.70536,15.11518,0.09270035
17.2506,15.87257,16.29572,0.09253537
17.14719,16.17279,16.48809,0.09270523
18.61486,17.20834,17.70432,0.09266201
18.47828,17.15879,17.57423,0.09251885
18.40899,16.9312,17.40611,0.09265687
18.46981,17.02255,17.48422,0.09252419
18.25767,16.70526,17.15126,0.09272738
17.60469,16.22837,16.65641,0.09268285
16.3591,14.96947,15.39139,0.09256347
18.38639,17.01279,17.44017,0.09257521
18.247,16.9664,17.34647,0.09265637
18.38883,17.21833,17.6229,0.09259528
17.91756,16.63556,17.06209,0.09255849
18.09504,16.82335,17.22596,0.09259211
17.89333,16.61995,17.01839,0.09249378
17.82108,16.47277,16.95184,0.09249786
18.31503,16.94991,17.37203,0.0926991
17.90281,16.73762,17.18593,0.09257209
17.7565,16.18678,16.69498,0.09254282
17.31666,15.9488,16.37334,0.09272244
18.21127,16.90663,17.3021,0.09265133
17.33531,15.93152,16.44744,0.09260532
18.21883,16.93275,17.32265,0.09269748
17.46372,15.94883,16.45318,0.09266814
16.21202,14.774,15.23447,0.09258716
18.07726,17.21695,17.52625,0.09264429
16.88301,15.87475,16.22049,0.09267575
18.9128,18.41731,18.69674,0.09259325
16.89922,15.49071,15.91901,0.0925331
17.89811,16.3747,16.82093,0.09256439
16.72514,15.23487,15.73507,0.09272172
18.39763,17.04913,17.46492,0.09260818
17.81174,16.96365,17.33997,0.09265383
17.741,16.3869,16.80708,0.09273145
17.65515,16.7172,17.06467,0.0926993
18.71706,17.68284,18.04704,0.09266713
18.32783,17.24733,17.65782,0.09250332
19.28692,17.87336,18.40736,0.09272693
19.41626,18.67454,19.03293,0.09268761
19.06945,18.22538,18.5572,0.09251319
18.05692,17.31055,17.6722,0.09256446
19.02426,18.42625,18.65627,0.09270219
18.41052,17.52015,17.94199,0.09255847
19.45784,18.9084,19.17988,0.09263082
18.03164,17.2721,17.57319,0.09258045
17.7198,16.33658,16.76878,0.09262874
18.61383,18.03093,18.19438,0.09263242
17.39323,16.06112,16.4609,0.09260832
19.33276,18.1004,18.52512,0.09257946
19.05274,18.16236,18.50157,0.09270763
17.52886,16.11591,16.56992,0.09272131
19.22331,17.87136,18.28218,0.09252081
19.10921,18.38252,18.65162,0.09256244
19.28843,18.04979,18.49625,0.09266199
19.1733,18.64936,18.90989,0.09272949
17.26888,16.1108,16.54705,0.09257279
18.475,17.10713,17.54622,0.09262488
18.53668,17.11388,17.59855,0.09267579
17.7492,16.57424,17.00037,0.09261766
18.61612,17.39685,17.85276,0.09251287
17.93162,16.55054,16.97515,0.09258225
18.50627,17.07739,17.53453,0.0926542
17.4512,15.96976,16.46099,0.09254313
16.51621,15.22115,15.64955,0.09263979
17.86883,16.85921,17.23953,0.0926963
18.01964,16.65948,17.16032,0.09255691
18.34564,17.51276,17.83339,0.09270928
19.02286,18.58765,18.9199,0.0925046
17.93686,16.60543,17.05891,0.09270064
17.36706,16.15341,16.56159,0.09265394
18.37253,17.28366,17.67253,0.09267071
17.00772,15.67714,16.08961,0.09265236
18.40842,17.17309,17.57036,0.09267327
17.90557,16.97505,17.21313,0.0925943
18.53775,17.07058,17.46658,0.09251724
17.56454,16.25274,16.65726,0.09264447
17.80235,16.33237,16.82645,0.0926387
17.04202,15.77908,16.2404,0.09254472
18.28305,17.22599,17.64559,0.09251725
17.95602,16.66781,17.1957,0.09259081
17.32125,16.07953,16.52219,0.09272254
18.00722,16.70333,17.11285,0.09258734
17.21242,15.85303,16.28997,0.09251531
17.89768,16.54288,16.97689,0.09255189
17.67637,16.34678,16.76276,0.09253751
17.7792,16.55293,16.96914,0.09262494
17.52345,16.13574,16.55948,0.09257979
17.70792,16.19776,16.66996,0.09265207
18.41576,16.99969,17.42948,0.09250623
17.32674,16.18537,16.61399,0.09260661
18.11204,17.16238,17.4829,0.09261408
18.55863,17.34079,17.69452,0.09257133
17.67384,17.13494,17.38589,0.09263352
17.92892,16.83698,17.31684,0.0927078
16.95273,15.60005,16.01447,0.09273062
17.96315,16.71199,17.16283,0.09273801
17.96278,16.51929,16.94106,0.09258383
18.38824,17.0722,17.50972,0.09263235
17.14715,16.23805,16.60109,0.09258658
18.14853,17.17396,17.52724,0.09265046
17.15552,15.58363,16.12605,0.09269594
17.41486,16.44654,16.76387,0.09263669
17.86106,16.73036,17.15347,0.09259527
17.40997,16.14125,16.67171,0.09254744
18.34557,16.97371,17.39231,0.09260885
18.16103,16.81903,17.23774,0.09254225
17.3178,15.91589,16.35717,0.09267963
16.41316,14.98145,15.4233,0.09250836
17.71025,16.40759,16.83688,0.0925888
17.64684,16.39484,16.80459,0.09260245
17.52122,16.67942,17.01281,0.09252989
21.17018,20.6295,21.03636,0.09252468
18.31557,16.83945,17.36776,0.09271525
16.90189,15.86103,16.22969,0.09264778
17.12532,15.78223,16.19586,0.09262255
17.95528,16.67931,17.06701,0.09257666
17.42437,16.1503,16.57406,0.09268293
17.20105,15.70287,16.20909,0.0926933
17.95397,16.94532,17.35403,0.09267181
17.48068,16.50299,16.86641,0.09261861
17.46249,15.90115,16.40524,0.09249718
18.61191,17.30415,17.71668,0.09257869
17.61291,16.73528,17.05029,0.09270848
17.63979,16.02841,16.55475,0.09255765
18.11572,16.7695,17.16915,0.09263964
17.61361,16.90411,17.22576,0.09256987
18.09639,17.00192,17.40337,0.09262053
17.82669,16.47659,16.89013,0.09264057
18.21107,17.48567,17.78015,0.09252878
18.30289,16.97117,17.43699,0.09266495
17.85323,16.44869,16.88331,0.09253314
17.45852,15.92403,16.40746,0.09254149
17.49179,16.0602,16.49798,0.09265426
17.75348,16.4546,16.99047,0.09261957
17.48181,16.0418,16.54627,0.09259668
19.75357,17.63278,18.21611,0.0925332
18.76125,17.3377,17.895,0.09250642
16.16584,14.78061,15.20816,0.09269138
17.84778,16.56008,16.94769,0.09251881
18.17103,16.86192,17.27863,0.09257798
17.50446,16.1918,16.63214,0.092604
17.8996,16.9351,17.29752,0.09267955
18.28832,17.33508,17.66553,0.09251075
17.78526,16.89786,17.24484,0.09258655
17.7487,16.43291,16.84816,0.09258512
18.23574,17.69323,17.96526,0.09253904
17.16874,15.615,16.09293,0.09268632
17.9054,17.15468,17.48178,0.09259431
17.24466,15.73828,16.22237,0.09261414
17.91945,16.88362,17.26331,0.09258793
18.10007,16.93793,17.40432,0.09249727
17.96136,16.35175,16.93813,0.09264041
18.29913,16.7775,17.30979,0.09257448
18.26819,16.92407,17.3445,0.09259121
17.44174,16.71396,17.00424,0.09260482
17.78724,16.25729,16.75664,0.09256229
18.69779,17.09675,17.63328,0.09260321
16.65717,15.47526,15.84811,0.09258716
17.34898,16.37328,16.73628,0.09271745
17.47262,16.00808,16.46651,0.09642675
17.37642,15.95872,16.40318,0.09646796
21.9084,21.9275,22.3402,0.09645539
18.10716,16.51322,16.98957,0.09634186
18.72588,17.31185,17.76558,0.09637906
17.8048,16.46155,16.87662,0.09633663
17.86254,16.56087,17.0061,0.09644212
18.54512,17.09179,17.53231,0.09636554
17.58492,16.03506,16.55641,0.0964038
17.27669,16.52311,16.87133,0.09644649
18.21843,16.95121,17.36108,0.09634157
18.08007,16.73389,17.12842,0.09653494
17.48169,16.27612,16.67813,0.09637444
17.17822,15.86794,16.28334,0.09638955
18.1715,17.41431,17.68306,0.09643659
18.30195,16.89585,17.36692,0.09634563
18.4972,17.05111,17.48524,0.09653694
17.74625,16.68093,17.05394,0.09645723
16.98765,15.46224,15.96643,0.09651371
18.00659,16.90998,17.26088,0.09635537
17.73412,16.34728,16.77463,0.09637207
17.37604,16.22606,16.66197,0.09651513
17.51248,16.09219,16.53029,0.09636426
17.20466,15.93315,16.36056,0.09646215
17.92409,16.96996,17.30595,0.0964861
18.52875,17.12554,17.62927,0.09643386
17.73657,16.54576,16.92336,0.09631385
16.87419,15.34682,15.81422,0.09639728
19.32034,18.00464,18.495,0.09651821
17.8887,16.86507,17.22873,0.09645183
17.73819,16.51834,16.95536,0.09641164
18.47787,16.91468,17.48774,0.09645204
21.40664,20.67075,21.82495,0.09637412
17.73878,16.38227,16.83901,0.09637526
17.73565,17.0012,17.2666,0.09644856
18.42254,17.03583,17.47064,0.09649661
18.54475,16.87545,17.57866,0.0964871
18.62973,17.23175,17.66506,0.09636968
17.57685,16.1153,16.52341,0.09631993
17.69454,16.29927,16.72199,0.09648368
18.09649,16.91945,17.32879,0.09649529
17.50368,16.36021,16.81193,0.09638513
18.0463,17.07621,17.43519,0.09641871
17.87737,17.22518,17.52591,0.0964492
17.31344,16.06761,16.49946,0.09638055
17.43334,16.78216,17.06382,0.09640738
17.98175,16.76778,17.21358,0.09645031
17.57482,16.57097,16.95121,0.09642287
18.36358,16.93469,17.43177,0.09634379
18.08597,17.04062,17.41706,0.09653394
15.86756,14.14949,14.63764,0.09644588
18.62264,16.68468,17.14273,0.09636575
17.07066,15.57799,16.04299,0.09642767
18.11658,17.04719,17.41129,0.09652285
